,Sale Price,Sale Date,Owner Name,Property Address,Municipality,Square Footage,,,,,,Zoning,Property Value,Assessed Value,Market Value,Taxable Value,Year Built,Bedrooms,Bathrooms,Half Baths,Property Type,Property Use,Building Class,Account Number,Folio Number,Deed Book,Neighborhood,Subdivision,Land Use Code,School District,Tax Amount,Exemption Amount,Record URL,Additional Info,Extraction Date
,,,,107 BOWSPRIT DR,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:30
,,,,712 LAKESIDE CIR,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:31
,,,,252 TEQUEST,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:32
,,,,624 SOUTHWIND CIR,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:32
,,,,715 IBIS WAY,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:32
,,,,716 HARBOUR ISLES WAY,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:32
,,,,736 LAGOON DR,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:33
,,,,800 LAKESIDE DR,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:33
,,,,801 HARBOUR ISLES CT,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:34
,,,,842 LAKESIDE DR,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:34
,,,,4720 N FLAGLER DR WEST,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:34
,,,,878 LAKESIDE DR,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:35
,,,,100 DAVIT DR,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:35
,,,,108 ANCHORAGE DR,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:35
,,,,752 HARBOUR ISLES WAY,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:35
,,,,700 HARBOUR ISLES WAY,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:36
,,,,29 ANDR,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:36
,,,,31 ANTHONY J FERRANTE TRUST,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:36
,,,,784 HARBOUR ISLES PL,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:37
,,,,826 HARBOUR ISLES PL,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:37
,,,,780 HARBOUR ISLES PL,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:37
,,,,845 HARBOUR ISLES PL,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:38
,,,,643 PILOT RD,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:38
,,,,797 HARBOUR ISLES CT,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-13 16:57:38
